Publication Venue,Count
Annals of the Association of American Geographers,2
American Journal of Family Law,3
Dialogues in Human Geography,2
International Journal of Emerging Technologies & Society,1
Journal of Human Behavior in the Social Environment,5
British Journal of Social Psychology,7
Social Influence,2
SOCIOLOGICAL SCIENCE,1
Journal of Community Psychology,5
Disability & Society,5
Social Problems,2
JQ: Justice Quarterly,1
Africa Today,2
Journal of Personality & Social Psychology,3
CURRENT SOCIOLOGY,2
Social Work Education,3
Cultural Studies,4
Ageing & Society,3
POETICS,4
Journal of Happiness Studies,1
LANGUAGE IN SOCIETY,3
SOCIOLOGICAL FORUM,3
"Gender, Work & Organization",2
SPORT IN SOCIETY,11
American Journal of Criminal Justice,2
Sociology of Sport Journal,5
Social Psychology of Education,1
SEXUALITIES,4
SOCIAL SCIENCE QUARTERLY,2
Sexuality & Culture,3
Islamophobia Studies Journal,2
AIDS Education & Prevention,1
Journal of Women's Health (15409996),3
Journal of Eastern African Studies,4
Conference Papers -- American Society of Criminology,1
Employee Responsibilities & Rights Journal,2
Journal of Social Psychology,1
British Journal of Politics & International Relations,4
Girlhood Studies,3
Human Affairs,2
Social Identities,2
International Journal of Sociology & Social Policy,1
International Journal of Sport & Exercise Psychology,1
Journal of Current Chinese Affairs,1
"Crime, Media, Culture",5
ARMED FORCES & SOCIETY,2
JOURNAL OF LEISURE RESEARCH,2
MEN AND MASCULINITIES,2
Affilia: Journal of Women & Social Work,1
Group Processes & Intergroup Relations,1
CORNELL HOSPITALITY QUARTERLY,1
SYMBOLIC INTERACTION,4
Journal of Applied Social Psychology,1
Death Studies,2
Journal of Black Studies,1
INTERNATIONAL STUDIES IN SOCIOLOGY OF EDUCATION,1
American Sociological Review,2
"Gender, Place & Culture: A Journal of Feminist Geography",1
Young,2
Fudan Journal of the Humanities & Social Sciences,2
SCANDINAVIAN JOURNAL OF HOSPITALITY AND TOURISM,2
INNOVATION-THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH,1
International Journal of Mass Emergencies & Disasters,2
Contemporary Social Science,3
Journal of Social Work Practice,1
QUALITATIVE SOCIOLOGY,1
Global Society: Journal of Interdisciplinary International Relations,2
Social Behavior & Personality: an international journal,3
Changing English: Studies in Culture & Education,1
Advances in Gender Research,2
Police Practice & Research,2
Public Opinion Quarterly,5
Journal of LGBT Youth,1
Columbia Journal of Law & Social Problems,1
Australian & New Zealand Journal of Public Health,3
SOCIAL CURRENTS,1
Youth & Society,1
Geographical Review,1
Journal of Refugee Studies,2
International Journal of Sports Science & Coaching,1
Journal of Social Service Research,1
Criminology & Public Policy,2
Environmental Sociology,1
Journal of Adult Protection,1
Michigan Journal of Race & Law,1
European Policy Analysis,1
